epoch,pgd_base_before,pgd_base_after,delta_base,applied_add,applied_del,deg_hist_jsd,acc_usa,acc_brazil
0,3.7815871238708496,3.7858927249908447,0.004305601119995117,48,48,0.046845527941151044,0.6218487394957983,0.6296296296296297
1,-0.004764765501022339,-0.006762385368347168,-0.001997619867324829,48,48,0.04912974827283425,0.6386554621848739,0.6666666666666666
2,0.06938427686691284,0.057275623083114624,-0.012108653783798218,48,48,0.04786251373363086,0.6134453781512605,0.6666666666666666
3,-0.07119165360927582,-0.07770709693431854,-0.006515443325042725,48,48,0.050949086576516034,0.6428571428571429,0.6296296296296297
4,-0.0841905027627945,-0.07883672416210175,0.005353778600692749,48,48,0.061705746107533294,0.634453781512605,0.7037037037037037
5,-0.08133362233638763,-0.07677383720874786,0.0045597851276397705,48,48,0.05200297776364686,0.634453781512605,0.7037037037037037
6,-0.10119516402482986,-0.10308147966861725,-0.001886315643787384,48,48,0.043099266798147226,0.6134453781512605,0.7037037037037037
7,-0.1048942357301712,-0.10151863098144531,0.003375604748725891,48,48,0.05154504886989347,0.6134453781512605,0.7037037037037037
8,-0.10371369123458862,-0.09196192026138306,0.011751770973205566,48,48,0.05177509706002813,0.6302521008403361,0.6666666666666666
9,-0.1400270313024521,-0.15230251848697662,-0.012275487184524536,48,48,0.04108842094145475,0.6176470588235294,0.6666666666666666
0,3.6503713130950928,3.638852119445801,-0.011519193649291992,48,48,0.0499512364133526,0.6050420168067226,0.7037037037037037
1,0.002608060836791992,-0.005788832902908325,-0.008396893739700317,48,48,0.044493560480615535,0.6008403361344538,0.7037037037037037
2,0.019478976726531982,0.01970386505126953,0.00022488832473754883,48,48,0.04628628619292805,0.6218487394957983,0.7407407407407407
3,-0.046477317810058594,-0.04231387376785278,0.0041634440422058105,48,48,0.05125314286266498,0.6218487394957983,0.7407407407407407
4,-0.001604706048965454,-0.0024279356002807617,-0.0008232295513153076,48,48,0.04968376768958494,0.6176470588235294,0.7777777777777778
5,-0.06892034411430359,-0.06092342734336853,0.007996916770935059,48,48,0.05250401304263999,0.6092436974789915,0.7777777777777778
6,-0.09642281383275986,-0.09750783443450928,-0.0010850206017494202,48,48,0.05178803736875438,0.6092436974789915,0.8148148148148148
7,-0.08064975589513779,-0.08471375703811646,-0.004064001142978668,48,48,0.05399643864603944,0.6302521008403361,0.7777777777777778
8,-0.09867443144321442,-0.10339246690273285,-0.004718035459518433,48,48,0.059540907222637905,0.634453781512605,0.7407407407407407
9,-0.07507418096065521,-0.0889635682106018,-0.013889387249946594,48,48,0.0450681897869961,0.6386554621848739,0.7407407407407407
0,3.492145538330078,3.3052709102630615,-0.1868746280670166,48,48,0.04857104684758093,0.6512605042016807,0.8148148148148148
1,0.0408342182636261,0.052415937185287476,0.011581718921661377,48,48,0.047703876078636756,0.6554621848739496,0.7407407407407407
2,-0.05926424264907837,-0.048542141914367676,0.010722100734710693,48,48,0.04609136732195623,0.6302521008403361,0.8148148148148148
3,-0.07202376425266266,-0.07043668627738953,0.0015870779752731323,48,48,0.05286721801154776,0.6218487394957983,0.8148148148148148
4,-0.08923995494842529,-0.07982945442199707,0.009410500526428223,48,48,0.04786466611889449,0.634453781512605,0.8148148148148148
5,-0.1400689333677292,-0.12986335158348083,0.010205581784248352,48,48,0.050565052550498146,0.6176470588235294,0.7777777777777778
6,-0.09852644056081772,-0.08497890830039978,0.013547532260417938,48,48,0.04960901027493532,0.634453781512605,0.7407407407407407
7,-0.09733341634273529,-0.08011752367019653,0.017215892672538757,48,48,0.05642432919021108,0.6386554621848739,0.6666666666666666
8,-0.015062391757965088,-0.01829954981803894,-0.0032371580600738525,48,48,0.04493491915524152,0.6386554621848739,0.6666666666666666
9,-0.06683269143104553,-0.07285773754119873,-0.006025046110153198,48,48,0.056628895022306905,0.6428571428571429,0.6296296296296297
0,-0.04947903752326965,-0.05009840428829193,-0.0006193667650222778,48,48,0.055964764226299805,0.6386554621848739,0.6296296296296297
1,0.0028810501098632812,0.00687757134437561,0.003996521234512329,48,48,0.04626393538817508,0.6386554621848739,0.6666666666666666
2,-0.04070913791656494,-0.04377049207687378,-0.003061354160308838,48,48,0.051650429962623284,0.634453781512605,0.6666666666666666
3,-0.08016043156385422,-0.07895222306251526,0.0012082085013389587,48,48,0.0494309934265526,0.6386554621848739,0.7037037037037037
4,-0.0642344057559967,-0.0611574649810791,0.0030769407749176025,48,48,0.043555307504293525,0.634453781512605,0.7037037037037037
5,0.024813413619995117,0.02628117799758911,0.0014677643775939941,48,48,0.05460026919379194,0.6218487394957983,0.6666666666666666
6,-0.04248133301734924,-0.0395735502243042,0.002907782793045044,48,48,0.05277218943745991,0.6512605042016807,0.7777777777777778
7,-0.12391065061092377,-0.12975463271141052,-0.005843982100486755,48,48,0.05043176789987967,0.6680672268907563,0.7037037037037037
8,-0.14337870478630066,-0.13846322894096375,0.004915475845336914,48,48,0.048149823955239236,0.6638655462184874,0.7037037037037037
9,-0.1825496256351471,-0.17173393070697784,0.01081569492816925,48,48,0.04460312682785765,0.6722689075630253,0.6666666666666666
0,5.748883247375488,5.7052693367004395,-0.04361391067504883,48,48,0.05420776998696315,0.6512605042016807,0.5925925925925926
1,0.05236184597015381,0.07285571098327637,0.02049386501312256,48,48,0.051215862180472464,0.6386554621848739,0.7407407407407407
2,-0.03799787163734436,-0.028208792209625244,0.009789079427719116,48,48,0.03813167775129688,0.6722689075630253,0.6666666666666666
3,-0.03495866060256958,-0.027032911777496338,0.007925748825073242,48,48,0.05241773083140264,0.6554621848739496,0.6666666666666666
4,-0.10442300140857697,-0.10766790807247162,-0.0032449066638946533,48,48,0.04696495352356509,0.6722689075630253,0.6666666666666666
5,-0.11893089860677719,-0.11271552741527557,0.006215371191501617,48,48,0.05413172351471197,0.6386554621848739,0.7037037037037037
6,-0.11343922466039658,-0.10673675686120987,0.0067024677991867065,48,48,0.04796368997667619,0.634453781512605,0.7037037037037037
7,-0.13070359826087952,-0.12309577316045761,0.0076078251004219055,48,48,0.05490419455004282,0.6470588235294118,0.7037037037037037
8,-0.16597747802734375,-0.1679099202156067,-0.0019324421882629395,48,48,0.056766131557550815,0.634453781512605,0.7037037037037037
9,-0.2065085619688034,-0.19560879468917847,0.010899767279624939,48,48,0.050268230526098995,0.6302521008403361,0.6296296296296297
0,1.3829280138015747,1.3702341318130493,-0.01269388198852539,48,48,0.04472748750248966,0.6722689075630253,0.7407407407407407
1,0.070079505443573,0.08682435750961304,0.01674485206604004,48,48,0.05417986957146244,0.6680672268907563,0.6666666666666666
2,0.07753866910934448,0.0826350748538971,0.005096405744552612,48,48,0.05743199687134057,0.6512605042016807,0.7407407407407407
3,-0.029366403818130493,-0.01831817626953125,0.011048227548599243,48,48,0.0463457672132816,0.6302521008403361,0.6296296296296297
4,-0.1106114387512207,-0.08916464447975159,0.021446794271469116,48,48,0.050901114675730795,0.6428571428571429,0.7037037037037037
5,-0.1015380248427391,-0.10318697988986969,-0.0016489550471305847,48,48,0.04654952938164093,0.6428571428571429,0.8148148148148148
6,-0.11000621318817139,-0.11339721083641052,-0.0033909976482391357,48,48,0.036352634556516425,0.6302521008403361,0.7777777777777778
7,-0.025196082890033722,-0.02716778963804245,-0.001971706748008728,48,48,0.053794330403930085,0.6260504201680672,0.8148148148148148
8,0.009070441126823425,0.008399948477745056,-0.0006704926490783691,48,48,0.049548217099487944,0.6428571428571429,0.7407407407407407
9,-0.0959048941731453,-0.10260150581598282,-0.006696611642837524,48,48,0.045065242539736185,0.6554621848739496,0.8148148148148148
0,1.9672110080718994,1.86100172996521,-0.10620927810668945,48,48,0.0542875082827928,0.6134453781512605,0.7037037037037037
1,0.12133431434631348,0.12877559661865234,0.007441282272338867,48,48,0.05540648796609911,0.5966386554621849,0.6666666666666666
2,-0.05852958559989929,-0.05957081913948059,-0.0010412335395812988,48,48,0.0485010707387636,0.5882352941176471,0.6666666666666666
3,0.03402697294950485,0.03379155695438385,-0.0002354159951210022,48,48,0.04741514446798751,0.6092436974789915,0.6296296296296297
4,0.04844965040683746,0.03791283071041107,-0.010536819696426392,48,48,0.0470186215878452,0.6050420168067226,0.5555555555555556
5,0.03831794857978821,0.019075527787208557,-0.01924242079257965,48,48,0.05591001901565128,0.6134453781512605,0.5925925925925926
6,-0.07354515790939331,-0.07394446432590485,-0.00039930641651153564,48,48,0.04388482622480004,0.6092436974789915,0.6296296296296297
7,-0.09868122637271881,-0.10817942768335342,-0.009498201310634613,48,48,0.04575859349363223,0.6260504201680672,0.6296296296296297
8,-0.12815220654010773,-0.11422857642173767,0.013923630118370056,48,48,0.04923550795430982,0.6176470588235294,0.5925925925925926
9,-0.1246265321969986,-0.1202281042933464,0.004398427903652191,48,48,0.05766674147779148,0.6050420168067226,0.6296296296296297
0,3.4178104400634766,3.3401219844818115,-0.07768845558166504,48,48,0.05428976339477433,0.6302521008403361,0.7037037037037037
