epoch,pgd_base_before,pgd_base_after,delta_base,applied_add,applied_del,deg_hist_jsd,acc_usa,acc_brazil
0,3.777552604675293,3.777552604675293,0.0,0,0,0.0,0.6218487394957983,0.7777777777777778
1,-0.05323094129562378,-0.05323094129562378,0.0,0,0,0.0,0.6260504201680672,0.8148148148148148
2,-0.05004282295703888,-0.05004282295703888,0.0,0,0,0.0,0.634453781512605,0.7407407407407407
3,-0.013812115415930748,-0.013812115415930748,0.0,0,0,0.0,0.634453781512605,0.7037037037037037
4,0.01358896866440773,0.01358896866440773,0.0,0,0,0.0,0.6218487394957983,0.8148148148148148
5,0.014668092131614685,0.014668092131614685,0.0,0,0,0.0,0.6134453781512605,0.7777777777777778
6,-0.02528725191950798,-0.02528725191950798,0.0,0,0,0.0,0.6134453781512605,0.7777777777777778
7,-0.054276496171951294,-0.054276496171951294,0.0,0,0,0.0,0.6218487394957983,0.7777777777777778
8,-0.07254442572593689,-0.07254442572593689,0.0,0,0,0.0,0.6218487394957983,0.8148148148148148
9,-0.0829114317893982,-0.0829114317893982,0.0,0,0,0.0,0.6470588235294118,0.7407407407407407
10,-0.08649890869855881,-0.08649890869855881,0.0,0,0,0.0,0.6302521008403361,0.6296296296296297
11,-0.1007009744644165,-0.1007009744644165,0.0,0,0,0.0,0.634453781512605,0.6666666666666666
12,0.011830627918243408,0.011830627918243408,0.0,0,0,0.0,0.6134453781512605,0.6666666666666666
13,0.08178815245628357,0.08178815245628357,0.0,0,0,0.0,0.6596638655462185,0.7037037037037037
14,0.14019271731376648,0.14019271731376648,0.0,0,0,0.0,0.6596638655462185,0.6666666666666666
15,0.1787022054195404,0.1787022054195404,0.0,0,0,0.0,0.6680672268907563,0.6666666666666666
16,0.20646819472312927,0.20646819472312927,0.0,0,0,0.0,0.6638655462184874,0.5925925925925926
17,0.16328825056552887,0.16328825056552887,0.0,0,0,0.0,0.6680672268907563,0.6296296296296297
18,0.12126131355762482,0.12126131355762482,0.0,0,0,0.0,0.6848739495798319,0.7037037037037037
19,0.11800648272037506,0.11800648272037506,0.0,0,0,0.0,0.6722689075630253,0.5925925925925926
20,0.05174238234758377,0.05174238234758377,0.0,0,0,0.0,0.6470588235294118,0.5555555555555556
21,0.05632171034812927,0.05632171034812927,0.0,0,0,0.0,0.6554621848739496,0.5185185185185185
22,0.061163149774074554,0.061163149774074554,0.0,0,0,0.0,0.6386554621848739,0.5185185185185185
23,0.041402965784072876,0.041402965784072876,0.0,0,0,0.0,0.6470588235294118,0.5925925925925926
24,0.03327330946922302,0.03327330946922302,0.0,0,0,0.0,0.6386554621848739,0.6296296296296297
25,-0.07142935693264008,-0.07142935693264008,0.0,0,0,0.0,0.6176470588235294,0.6666666666666666
26,-0.1273874193429947,-0.1273874193429947,0.0,0,0,0.0,0.6176470588235294,0.5925925925925926
27,-0.07358768582344055,-0.07358768582344055,0.0,0,0,0.0,0.6218487394957983,0.6666666666666666
28,0.03757208585739136,0.03757208585739136,0.0,0,0,0.0,0.6092436974789915,0.6296296296296297
29,0.09409692138433456,0.09409692138433456,0.0,0,0,0.0,0.5966386554621849,0.6666666666666666
30,0.020868048071861267,0.020868048071861267,0.0,0,0,0.0,0.6092436974789915,0.6666666666666666
31,-0.06693664193153381,-0.06693664193153381,0.0,0,0,0.0,0.6176470588235294,0.6666666666666666
32,-0.032279908657073975,-0.032279908657073975,0.0,0,0,0.0,0.6008403361344538,0.6296296296296297
33,-0.02916742116212845,-0.02916742116212845,0.0,0,0,0.0,0.6008403361344538,0.6296296296296297
34,-0.09310009330511093,-0.09310009330511093,0.0,0,0,0.0,0.6092436974789915,0.6666666666666666
35,-0.05642823874950409,-0.05642823874950409,0.0,0,0,0.0,0.6260504201680672,0.6666666666666666
36,0.07600629329681396,0.07600629329681396,0.0,0,0,0.0,0.6470588235294118,0.6296296296296297
37,0.12467506527900696,0.12467506527900696,0.0,0,0,0.0,0.6176470588235294,0.6666666666666666
38,0.21211951971054077,0.21211951971054077,0.0,0,0,0.0,0.5966386554621849,0.7037037037037037
39,0.07059910148382187,0.07059910148382187,0.0,0,0,0.0,0.634453781512605,0.6666666666666666
40,-0.04724046587944031,-0.04724046587944031,0.0,0,0,0.0,0.5840336134453782,0.6296296296296297
41,-0.027019307017326355,-0.027019307017326355,0.0,0,0,0.0,0.6134453781512605,0.5925925925925926
42,-0.018284138292074203,-0.018284138292074203,0.0,0,0,0.0,0.6176470588235294,0.5185185185185185
43,-0.04338613897562027,-0.04338613897562027,0.0,0,0,0.0,0.6008403361344538,0.5925925925925926
44,0.006238535046577454,0.006238535046577454,0.0,0,0,0.0,0.592436974789916,0.5925925925925926
